test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp	fold	gen	model	subset
0.49936	0.002	0.54691	0.60392	0.54685	0.5388	-9.18034	1721	1455	39	45	2	combine	lrc	top5
0.50075	0.002	0.58008	0.58924	0.58008	0.55753	-8.98396	1840	1336	39	45	2	combine	lrc	top5
0.50096	0.002	0.63334	0.57865	0.63333	0.61712	-8.94595	1727	1449	26	58	2	combine	lrc	top5
0.49914	0.002	0.58273	0.57232	0.58274	0.55	-8.84027	1830	1346	40	44	2	combine	lrc	top5
0.49878	0.28942	0.50853	0.58262	0.5095	0.52185	-8.76952	1878	1298	46	38	4	combine	lrc	top5
0.50054	0.11776	0.52006	0.62524	0.51882	0.51697	-9.01347	1847	1329	46	38	4	combine	lrc	top5
0.5009	0.002	0.54359	0.62186	0.54323	0.53379	-9.06066	1727	1449	40	44	4	combine	lrc	top5
0.50067	0.22156	0.51388	0.59877	0.51368	0.52355	-8.77819	1851	1325	45	39	4	combine	lrc	top5
0.50012	0.17166	0.51577	0.60802	0.51485	0.49782	-8.88787	1801	1375	48	36	4	combine	lrc	top5
0.50071	0.02794	0.53544	0.59345	0.53531	0.5125	-8.85732	1743	1433	44	40	4	combine	lrc	top5
0.50017	0.56088	0.49707	0.60176	0.496	0.48806	-8.89665	1739	1437	48	36	4	combine	lrc	top5
0.49979	0.67665	0.49303	0.5917	0.49224	0.47567	-8.89245	1925	1251	55	29	4	combine	lrc	top5
0.49906	0.00399	0.53974	0.59894	0.53993	0.51888	-8.81272	1897	1279	47	37	4	combine	lrc	top5
0.49912	0.45309	0.50068	0.60363	0.50126	0.46408	-8.76922	1927	1249	57	27	4	combine	lrc	top5
0.49973	0.48303	0.50125	0.61383	0.50382	0.4741	-8.88498	1915	1261	55	29	4	combine	lrc	top5
0.49998	0.13972	0.51813	0.59075	0.51836	0.52978	-8.91359	1815	1361	43	41	4	combine	lrc	top5
0.49961	0.05589	0.52644	0.59738	0.52663	0.51958	-8.79107	1788	1388	44	40	4	combine	lrc	top5
0.50063	0.28743	0.51148	0.59112	0.51154	0.49921	-8.80892	1772	1404	47	37	4	combine	lrc	top5
0.50049	0.29741	0.50978	0.59825	0.51008	0.50017	-8.7937	2005	1171	53	31	4	combine	lrc	top5
0.50006	0.10579	0.52122	0.60394	0.521	0.49905	-8.93854	1771	1405	47	37	4	combine	lrc	top5
0.5007	0.05788	0.52573	0.62133	0.52582	0.48843	-8.89688	1817	1359	50	34	4	combine	lrc	top5
0.49996	0.39521	0.505	0.58717	0.50601	0.49662	-8.78288	1869	1307	50	34	4	combine	lrc	top5
0.50055	0.57086	0.49835	0.59628	0.49955	0.49004	-8.95953	1676	1500	46	38	4	combine	lrc	top5
0.50008	0.00798	0.54094	0.62176	0.54029	0.5307	-9.01162	1783	1393	42	42	4	combine	lrc	top5
0.49945	0.61876	0.49395	0.52057	0.49276	0.50643	-9.01972	1993	1184	51	32	0	m	nn	top5
0.49985	0.05788	0.52541	0.54079	0.51834	0.51554	-9.09014	1515	1662	37	46	0	m	nn	top5
0.5006	0.83234	0.48479	0.49245	0.53599	0.52037	-9.30323	1316	1861	31	52	0	m	nn	top5
